"filename", "language", "PHP", "XML", "JavaScript", "CSS", "Less", "SCSS", "Batch", "Shell Script", "comment", "blank", "total"
"/var/www/html/sag/portal/select2/js/i18n/mk.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"/var/www/html/sag/portal/select2/js/i18n/ms.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"/var/www/html/sag/portal/select2/js/i18n/nb.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"/var/www/html/sag/portal/select2/js/i18n/nl.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"/var/www/html/sag/portal/select2/js/i18n/pl.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"/var/www/html/sag/portal/select2/js/i18n/pt-BR.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"/var/www/html/sag/portal/select2/js/i18n/pt.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"/var/www/html/sag/portal/select2/js/i18n/ro.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"/var/www/html/sag/portal/select2/js/i18n/ru.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"/var/www/html/sag/portal/select2/js/i18n/sk.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"/var/www/html/sag/portal/select2/js/i18n/sr-Cyrl.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"/var/www/html/sag/portal/select2/js/i18n/sr.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"/var/www/html/sag/portal/select2/js/i18n/sv.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"/var/www/html/sag/portal/select2/js/i18n/th.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"/var/www/html/sag/portal/select2/js/i18n/tr.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"/var/www/html/sag/portal/select2/js/i18n/uk.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"/var/www/html/sag/portal/select2/js/i18n/vi.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"/var/www/html/sag/portal/select2/js/i18n/zh-CN.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"/var/www/html/sag/portal/select2/js/i18n/zh-TW.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"/var/www/html/sag/portal/select2/js/select2.full.js", "JavaScript", 0, 0, 4841, 0, 0, 0, 0, 0, 327, 1269, 6437
"/var/www/html/sag/portal/select2/js/select2.full.min.js", "JavaScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 3
"/var/www/html/sag/portal/select2/js/select2.js", "JavaScript", 0, 0, 4331, 0, 0, 0, 0, 0, 275, 1120, 5726
"/var/www/html/sag/portal/select2/js/select2.min.js", "JavaScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 3
"/var/www/html/sag/portal_proveedores/XML/xml_1012_8141.xml", "XML", 0, 47, 0, 0, 0, 0, 0, 0, 0, 1, 48
"/var/www/html/sag/portal_proveedores/XML/xml_1047_11154.xml", "XML", 0, 25, 0, 0, 0, 0, 0, 0, 0, 1, 26
"/var/www/html/sag/portal_proveedores/XML/xml_1047_14463.xml", "XML", 0, 49, 0, 0, 0, 0, 0, 0, 0, 1, 50
"/var/www/html/sag/portal_proveedores/XML/xml_1047_19099.xml", "XML", 0, 25, 0, 0, 0, 0, 0, 0, 0, 1, 26
"/var/www/html/sag/portal_proveedores/XML/xml_1047_3779.xml", "XML", 0, 33, 0, 0, 0, 0, 0, 0, 0, 1, 34
"/var/www/html/sag/portal_proveedores/XML/xml_1047_6955.xml", "XML", 0, 49, 0, 0, 0, 0, 0, 0, 0, 1, 50
"/var/www/html/sag/portal_proveedores/XML/xml_1047_8952.xml", "XML", 0, 28, 0, 0, 0, 0, 0, 0, 0, 1, 29
